MON timestamp weightedPrice RollingMin RollingMax averPrice stdevPrice coin cash curBalanceCoin curBalanceDollar trades decision
MON 160 9043.94 8891.05 9964.5 9043.94 0 0.10311936065996391 0.0 0.10311936065996391 932.605310647074 1 0
MON 161 8441.49 8891.05 9964.5 8441.49 0 0.0 870.4810518174787 0.10311936065996391 870.4810518174787 2 -1
MON 162 8504.89 8394.46 9964.5 8504.89 0 0.0 870.4810518174787 0.10235065377888236 870.4810518174787 2 0
MON 163 8723.94 8223.5 9964.5 8723.94 0 0.0 870.4810518174787 0.09978072428483904 870.4810518174787 2 0
MON 164 8716.79 8223.5 9964.5 8716.79 0 0.0 870.4810518174787 0.09986257003065103 870.4810518174787 2 0
MON 165 8510.38 8223.5 9964.5 8510.38 0 0.0 870.4810518174787 0.10228462792701135 870.4810518174787 2 0
MON 166 8368.83 8223.5 9964.5 8368.83 0 0.0 870.4810518174787 0.1040146653495744 870.4810518174787 2 0
MON 167 8094.32 8175.49 9964.5 8094.32 0 0.0 870.4810518174787 0.10754220883501996 870.4810518174787 2 0
MON 168 8250.97 8054.12 9964.5 8250.97 0 0.0 870.4810518174787 0.10550045047036637 870.4810518174787 2 0
MON 169 8247.18 7974.82 9964.5 8247.18 0 0.0 870.4810518174787 0.10554893331023195 870.4810518174787 2 0
MON 170 8513.25 7974.82 9964.5 8513.25 0 0.0 870.4810518174787 0.10225014557513037 870.4810518174787 2 0
MON 171 8418.99 7974.82 9964.5 8418.99 0 0.0 870.4810518174787 0.10339495020394118 870.4810518174787 2 0
MON 172 8041.78 7974.82 9964.5 8041.78 0 0.0 870.4810518174787 0.10824482288964368 870.4810518174787 2 0
MON 173 7557.82 7974.82 9964.5 7557.82 0 0.0 870.4810518174787 0.11517620845924867 870.4810518174787 2 0
MON 174 7587.34 7507.88 9964.5 7587.34 0 0.0 870.4810518174787 0.11472809335254236 870.4810518174787 2 0
MON 175 7480.14 7331.14 9964.5 7480.14 0 0.0 870.4810518174787 0.11637229407704651 870.4810518174787 2 0
MON 176 7355.88 7331.14 9964.5 7355.88 0 0.0 870.4810518174787 0.11833812566511127 870.4810518174787 2 0
MON 177 7368.22 7331.14 9964.5 7368.22 0 0.0 870.4810518174787 0.11813993770781528 870.4810518174787 2 0
MON 178 7135.99 7270.96 9964.5 7135.99 0 0.0 870.4810518174787 0.12198462327126001 870.4810518174787 2 0
MON 179 7472.59 7100.89 9964.5 7472.59 0 0.0 870.4810518174787 0.1164898718941463 870.4810518174787 2 0
MON 180 7406.52 7090.68 9964.5 7406.52 0 0.0 870.4810518174787 0.1175290219721919 870.4810518174787 2 0
MON 181 7494.17 7090.68 9964.5 7494.17 0 0.0 870.4810518174787 0.11615443095332488 870.4810518174787 2 0
MON 182 7541.45 7090.68 9964.5 7541.45 0 0.0 870.4810518174787 0.11542621801079087 870.4810518174787 2 0
MON 183 7643.45 7090.68 9964.5 7643.45 0 0.0 870.4810518174787 0.11388588292164908 870.4810518174787 2 0
MON 184 7720.25 7090.68 9964.5 7720.25 0 0.0 870.4810518174787 0.11275296160324844 870.4810518174787 2 0
MON 185 7514.47 7090.68 9964.5 7514.47 0 0.0 870.4810518174787 0.11584064502452983 870.4810518174787 2 0
MON 186 7633.76 7090.68 9940.14 7633.76 0 0.0 870.4810518174787 0.11403044526124462 870.4810518174787 2 0
MON 187 7653.98 7090.68 9665.85 7653.98 0 0.0 870.4810518174787 0.11372920386746226 870.4810518174787 2 0
MON 188 7678.24 7090.68 9462.75 7678.24 0 0.0 870.4810518174787 0.11336986755004777 870.4810518174787 2 0
MON 189 7624.92 7090.68 9396.04 7624.92 0 0.0 870.4810518174787 0.11416264719072183 870.4810518174787 2 0
MON 190 7531.98 7313.6 9396.04 7531.98 0 0.0 870.4810518174787 0.1155713440313807 870.4810518174787 2 0
MON 191 6786.02 7361.13 9052.96 6786.02 0 0.0 870.4810518174787 0.12827563900747105 870.4810518174787 2 0
MON 192 6906.92 6709.07 8881.12 6906.92 0 0.0 870.4810518174787 0.12603027859269814 870.4810518174787 2 0
MON 193 6582.36 6706.63 8881.12 6582.36 0 0.0 870.4810518174787 0.13224452199780606 870.4810518174787 2 0
MON 194 6349.9 6542.08 8881.12 6349.9 0 0.0 870.4810518174787 0.13708578903880042 870.4810518174787 2 0
MON 195 6675.35 6285.63 8836.19 6675.35 0 0.0 870.4810518174787 0.1304023087654548 870.4810518174787 2 0
MON 196 6456.58 6285.63 8562.41 6456.58 0 0.0 870.4810518174787 0.13482076452510133 870.4810518174787 2 0
MON 197 6550.16 6285.63 8562.41 6550.16 0 0.0 870.4810518174787 0.13289462422558818 870.4810518174787 2 0
MON 198 6499.27 6285.63 8562.41 6499.27 0 0.0 870.4810518174787 0.133935203771728 870.4810518174787 2 0
MON 199 6734.82 6285.63 8562.41 6734.82 0 0.0 870.4810518174787 0.12925082657257042 870.4810518174787 2 0
MON 200 6769.94 6285.63 8562.41 6769.94 0 0.0 870.4810518174787 0.12858032003496025 870.4810518174787 2 0
MON 201 6776.55 6285.63 8557.52 6776.55 0 0.0 870.4810518174787 0.12845489988526296 870.4810518174787 2 0
MON 202 6729.74 6285.63 8423.25 6729.74 0 0.0 870.4810518174787 0.12934839262994985 870.4810518174787 2 0
MON 203 6083.69 6285.63 8054.66 6083.69 0 0.0 870.4810518174787 0.14308438658404338 870.4810518174787 2 0
MON 204 6162.48 6006.6 7754.89 6162.48 0 0.0 870.4810518174787 0.141254990169133 870.4810518174787 2 0
MON 205 6173.23 6006.6 7754.89 6173.23 0 0.0 870.4810518174787 0.14100901016444856 870.4810518174787 2 0
MON 206 6249.18 5826.41 7754.89 6249.18 0 0.0 870.4810518174787 0.13929524382678665 870.4810518174787 2 0
MON 207 6093.67 5826.41 7754.89 6093.67 0 0.0 870.4810518174787 0.14285004797067755 870.4810518174787 2 0
MON 208 6157.13 5826.41 7754.89 6157.13 0 0.0 870.4810518174787 0.1413777282301135 870.4810518174787 2 0
MON 209 5903.44 5826.41 7754.89 5903.44 0 0.0 870.4810518174787 0.1474531886184121 870.4810518174787 2 0
MON 210 6218.3 5826.41 7754.89 6218.3 0 0.0 870.4810518174787 0.13998698226484388 870.4810518174787 2 0
MON 211 6404.0 5826.41 7754.89 6404.0 0 0.0 870.4810518174787 0.13592770952802602 870.4810518174787 2 0
MON 212 6385.82 5826.41 7754.89 6385.82 0 0.0 870.4810518174787 0.1363146865739214 870.4810518174787 2 0
MON 213 6614.18 5826.41 7754.89 6614.18 0 0.0 870.4810518174787 0.13160830999723 870.4810518174787 2 0
MON 214 6529.59 5826.41 7754.89 6529.59 0 0.0 870.4810518174787 0.13331327875371635 870.4810518174787 2 0
MON 215 6597.55 5826.41 7753.82 6597.55 0 0.0 870.4810518174787 0.13194004620161706 870.4810518174787 2 0
MON 216 6639.14 5835.75 7741.27 6639.14 0 0.0 870.4810518174787 0.1311135255194918 870.4810518174787 2 0
MON 217 6673.5 5835.75 7741.27 6673.5 0 0.0 870.4810518174787 0.13043845835281018 870.4810518174787 2 0
MON 218 6856.93 5835.75 7741.27 6856.93 0 0.0 870.4810518174787 0.1269490941015117 870.4810518174787 2 0
MON 219 6773.88 5835.75 7698.19 6773.88 0 0.0 870.4810518174787 0.12850553181005253 870.4810518174787 2 0
MON 220 6741.75 5835.75 7683.58 6741.75 0 0.0 870.4810518174787 0.12911796667296752 870.4810518174787 2 0
MON 221 6329.95 6214.22 7499.55 6329.95 0 0.0 870.4810518174787 0.137517840080487 870.4810518174787 2 0
MON 222 6394.71 6289.29 6910.18 6394.71 0 0.0 870.4810518174787 0.13612518031583587 870.4810518174787 2 0
